Year,,Cəmi (min manat),Dəmir yolu (min manat),Dəniz (min manat),Hava (min manat),Avtomobil (min manat),Avtobus (min manat),Taksi (min manat),Metro (min manat),Tramvay (min manat),Trolleybus (min manat)
2024,,3425222.0,11696.0,1085.0,2099001.0,1213002.0,959319.0,253683.0,100438.0,0.0,0.0
2023,,2672397.0,9274.0,3923.0,1473613.0,1102104.0,870662.0,231442.0,83483.0,0.0,0.0
2022,,2239187.0,4827.0,6179.0,1261872.0,905559.0,681886.0,223673.0,60750.0,0.0,0.0
2021,,1298349.0,1837.0,2996.0,635110.0,632252.0,474553.0,157699.0,26154.0,0.0,0.0
2020,,912765.0,4248.0,1128.0,343383.0,542383.0,408815.0,133568.0,21623.0,0.0,0.0
2019,,1956159.0,16600.0,2284.0,1018198.0,850160.0,643571.0,206589.0,68917.0,0.0,0.0
2018,,1360696.0,14674.0,1615.0,528459.0,761762.0,578402.0,183360.0,54186.0,0.0,0.0
2017,,1175120.0,14240.0,932.0,461998.0,653628.0,487691.0,165937.0,44322.0,0.0,0.0
2016,,1005292.0,13158.0,698.0,336421.0,612753.0,458130.0,154623.0,42262.0,0.0,0.0
2015,,916207.0,12130.0,812.0,296907.0,563353.0,423802.0,139551.0,43005.0,0.0,0.0
2014,,866888.0,14452.0,1010.0,298624.0,510283.0,386327.0,123956.0,42519.0,0.0,0.0
2013,,780503.0,15135.0,1259.0,262433.0,458872.0,344627.0,114245.0,42804.0,0.0,0.0
2012,,703159.0,15768.0,1512.0,225628.0,419444.0,313583.0,105861.0,40807.0,0.0,0.0
2011,,637933.0,20175.0,4213.0,181853.0,402924.0,301812.0,101112.0,28768.0,0.0,0.0
2010,,522669.0,20388.0,1166.0,132319.0,340021.0,255773.0,84248.0,28775.0,0.0,0.0
2009,,479877.0,29447.0,889.0,155437.0,282715.0,211379.0,71336.0,11389.0,0.0,0.0
2008,,456634.0,41553.0,940.0,192652.0,211139.0,156349.0,54790.0,10350.0,0.0,0.0
2007,,357017.0,26544.0,625.0,153614.0,167704.0,121862.0,45842.0,8530.0,0.0,0.0
2006,,273793.0,21901.0,731.0,113439.0,130003.0,94687.0,35316.0,7714.0,0.0,5.0
2005,,240367.0,17282.0,685.0,96680.0,118724.0,86314.0,32410.0,6958.0,0.0,38.0
2004,,215933.0,14070.0,704.0,83282.0,111373.0,79568.0,31805.0,6450.0,0.0,54.0
2003,,179797.0,9751.0,455.0,60794.0,102713.0,73043.0,29670.0,5960.0,20.0,106.0
2002,,154515.0,6859.0,515.0,44222.0,97291.0,69501.0,27790.0,5436.0,54.0,137.0
2001,,143478.0,6254.0,401.0,37494.0,94587.0,68583.0,26004.0,4552.0,57.0,133.0
2000,,134130.0,4285.0,424.0,32925.0,91832.0,66473.0,25360.0,4446.0,92.0,126.0
1999,,127668.0,3013.0,381.0,31094.0,88429.0,64567.0,23862.0,4475.0,129.0,146.0
1998,,133338.0,4188.0,446.0,40639.0,82827.0,62869.0,19958.0,4666.0,235.0,337.0
1997,,114437.0,1602.0,1074.0,45501.0,61229.0,48965.0,12264.0,4437.0,205.0,389.0
1996,,84765.0,1140.0,1150.0,57119.0,21830.0,17034.0,4796.0,3058.0,138.0,330.0
1995,,74114.0,1053.0,2809.0,48605.0,19063.0,17065.0,1998.0,2120.0,109.0,355.0
