Year,,Bütün əlaqə növləri üzrə-cəmi (min sərnişin),Şəhərlərarası (min sərnişin),avtobus (min sərnişin),dəmir yolu (min sərnişin),dəniz (min sərnişin),hava (min sərnişin),Şəhərətrafı (min sərnişin),avtobus (min sərnişin),dəmir yolu (min sərnişin),Şəhərdaxili (min sərnişin),avtobus (min sərnişin),minik taksiləri (min sərnişin),metro (min sərnişin),Tramvay (min sərnişin),Trolleybus (min sərnişin)
2022,,1621129.0,34091.0,31731.0,85.0,21.0,2254.0,302092.0,297040.0,5052.0,1284946.0,992436.0,83814.0,208696.0,0.0,0.0
2021,,1214153.0,27061.0,25831.0,79.0,18.0,1133.0,214499.0,211752.0,2747.0,972593.0,795417.0,86944.0,90232.0,0.0,0.0
2020,,1177632.0,30769.0,29864.0,307.0,20.0,578.0,238197.0,236380.0,1817.0,908666.0,789024.0,44933.0,74709.0,0.0,0.0
2019,,2056516.0,56409.0,52472.0,1211.0,22.0,2704.0,421169.0,418530.0,2639.0,1578938.0,1270363.0,71893.0,236682.0,0.0,0.0
2018,,2002836.0,54620.0,51142.0,1063.0,16.0,2399.0,409702.0,407924.0,1778.0,1538514.0,1238170.0,69328.0,231016.0,0.0,0.0
2017,,1973440.0,53866.0,50365.0,1125.0,17.0,2359.0,403091.0,401726.0,1365.0,1516483.0,1220063.0,67572.0,228848.0,0.0,0.0
2016,,1929685.0,52794.0,49671.0,1123.0,20.0,1980.0,396460.0,395605.0,855.0,1480431.0,1197311.0,65604.0,217516.0,0.0,0.0
2015,,1891905.0,52098.0,49034.0,1237.0,9.0,1818.0,388875.0,388229.0,646.0,1450932.0,1165260.0,63632.0,222040.0,0.0,0.0
2014,,1828324.0,51844.0,48556.0,1485.0,15.0,1788.0,379667.0,378634.0,1033.0,1396813.0,1121142.0,60199.0,215472.0,0.0,0.0
2013,,1746106.0,48652.0,45380.0,1594.0,14.0,1664.0,356439.0,355525.0,914.0,1341015.0,1077923.0,56419.0,206673.0,0.0,0.0
2012,,1617339.0,45413.0,42176.0,1621.0,17.0,1599.0,333003.0,331956.0,1047.0,1238923.0,991991.0,51290.0,195642.0,0.0,0.0
2011,,1491905.0,42201.0,39052.0,1738.0,17.0,1394.0,311663.0,309950.0,1713.0,1138041.0,908938.0,46501.0,182602.0,0.0,0.0
2010,,1387308.0,39452.0,36159.0,2264.0,12.0,1017.0,291402.0,288863.0,2539.0,1056454.0,833302.0,42006.0,181146.0,0.0,0.0
2009,,1328073.0,37170.0,33826.0,2393.0,10.0,941.0,274214.0,270218.0,3996.0,1016689.0,772466.0,38083.0,206140.0,0.0,0.0
2008,,1242161.0,35880.0,31761.0,2709.0,14.0,1396.0,257887.0,254202.0,3685.0,948394.0,714231.0,33751.0,200412.0,0.0,0.0
2007,,1148328.0,33834.0,29436.0,2858.0,14.0,1526.0,240428.0,236688.0,3740.0,874066.0,667764.0,30613.0,175689.0,0.0,0.0
2006,,1063347.0,31335.0,27511.0,2475.0,17.0,1332.0,227273.0,223924.0,3349.0,804739.0,616491.0,27047.0,161096.0,0.0,105.0
2005,,1000278.0,29011.0,25568.0,2215.0,17.0,1211.0,220468.0,217191.0,3277.0,750799.0,578363.0,24788.0,146952.0,0.0,696.0
2004,,954078.0,29177.0,23125.0,1939.0,19.0,1094.0,210942.0,207640.0,3302.0,716959.0,555750.0,23210.0,136898.0,0.0,1101.0
2003,,920988.0,23084.0,20709.0,1495.0,13.0,867.0,204612.0,201371.0,3241.0,693292.0,541528.0,21958.0,127052.0,453.0,2301.0
2002,,893225.0,21977.0,19881.0,1350.0,14.0,732.0,196611.0,193519.0,3092.0,674637.0,533794.0,20965.0,115639.0,1135.0,3104.0
2001,,894520.0,21939.0,19976.0,1251.0,11.0,701.0,197245.0,193850.0,3395.0,675336.0,529585.0,21179.0,119341.0,1709.0,3522.0
2000,,871484.0,21145.0,19371.0,1061.0,12.0,701.0,191164.0,187975.0,3189.0,659175.0,513533.0,22420.0,117364.0,2427.0,3431.0
1999,,854099.0,20441.0,18833.0,897.0,14.0,697.0,185801.0,182649.0,3152.0,647857.0,499568.0,21458.0,119249.0,3416.0,4166.0
1998,,850070.0,13564.0,11429.0,1282.0,20.0,833.0,193271.0,190266.0,3005.0,643235.0,467290.0,19782.0,143823.0,4842.0,7498.0
1997,,780810.0,11833.0,9286.0,1382.0,43.0,1122.0,191618.0,189211.0,2407.0,577359.0,382596.0,19323.0,159527.0,4381.0,11532.0
1996,,721349.0,8009.0,5220.0,1499.0,39.0,1251.0,139729.0,136648.0,3081.0,573611.0,370601.0,10468.0,171598.0,4079.0,16865.0
1995,,671911.0,10659.0,6908.0,2560.0,60.0,1131.0,145577.0,139182.0,6395.0,515675.0,330075.0,9844.0,150000.0,4365.0,21391.0
