Year,,Əlavə dəyər (cari qiymətlərlə) (mln.manat),Ümumi mənfəət (cari qiymətlərlə) (mln.manat),Xalis mənfəət (cari qiymətlərlə) (mln.manat),Orta aylıq nominal əmək haqqı (manat),Əsas fondlar (ilin sonuna) (mln.manat),Əsas kapitala investisiyalar (mln.manat)
2024,,8823.0,6895.0,5264.0,1395.0,22229.0,5863.0
2023,,7827.0,6134.0,4528.0,1279.0,21245.0,5417.0
2022,,8122.0,6520.0,5136.0,1124.0,18942.0,4613.0
2021,,6390.0,4891.0,4054.0,953.0,17261.0,2857.0
2020,,5175.0,3814.0,2534.0,886.0,15705.0,2092.0
2019,,4867.0,3789.0,3055.0,856.0,15696.0,2189.0
2018,,4928.0,3959.0,3137.0,807.0,15175.0,1923.0
2017,,4719.0,3860.0,2935.0,734.0,12404.0,1774.0
2016,,4076.0,3281.0,2162.0,649.0,11582.0,1391.0
2015,,3242.0,2523.0,1860.0,576.0,10301.0,2195.0
2014,,2656.0,1963.0,1386.0,530.0,9124.0,2432.0
2013,,2569.0,1903.0,1466.0,536.0,8958.0,3560.0
2012,,2694.0,2156.0,1724.0,512.0,8156.0,2610.0
2011,,2659.0,2238.0,1813.0,447.0,6581.0,2509.0
2010,,2369.0,1961.0,1576.0,395.0,5700.0,2435.0
2009,,2431.0,1933.0,1541.0,364.0,5087.0,1706.0
2008,,2060.0,1659.0,1270.0,314.0,4475.0,1986.0
2007,,1607.0,1237.0,908.0,237.0,4016.0,748.0
2006,,872.0,556.0,394.0,163.0,3350.0,629.0
2005,,670.0,364.0,275.0,127.0,3050.0,516.0
2004,,614.0,373.0,268.0,103.0,2526.0,324.0
2003,,563.0,377.0,287.0,79.0,2254.0,339.0
2002,,474.0,334.0,250.0,66.0,2102.0,89.0
2001,,436.0,309.0,224.0,60.0,2156.0,59.0
2000,,453.0,327.0,229.0,52.0,2064.0,44.0
1999,,315.0,201.0,105.0,48.0,1925.0,84.0
1998,,324.0,245.0,131.0,58.0,1853.0,53.0
