Year,,Cəmi (kilometr),Dəmir yolu (kilometr),Dəniz (kilometr),Hava (kilometr),Metro (kilometr),Avtomobil (kilometr),Avtobus (kilometr),Taksi (kilometr)
2024,,18.9,44.2,457.7,1950.3,11.8,15.4,15.2,18.7
2023,,17.6,43.7,468.4,1813.2,11.8,15.1,14.9,18.5
2022,,17.6,37.8,476.6,2128.2,11.8,15.0,14.8,18.6
2021,,16.7,36.8,474.6,2060.0,11.0,15.1,14.7,19.2
2020,,16.1,81.0,455.9,1702.4,11.0,15.4,13.9,21.5
2019,,16.5,141.3,427.9,1756.7,11.0,14.3,14.0,21.6
2018,,16.7,164.0,433.1,2167.2,11.0,14.3,14.0,21.5
2017,,17.0,187.6,456.1,2374.3,11.0,14.3,14.0,21.5
2016,,16.0,226.5,459.2,1792.4,11.0,14.3,14.0,21.5
2015,,15.9,262.9,400.0,1836.1,11.0,14.3,14.0,21.5
2014,,15.8,243.1,353.7,1632.0,11.0,14.3,14.0,21.5
2013,,15.6,242.8,350.4,1549.9,10.8,14.3,14.0,21.6
2012,,15.5,221.5,374.3,1548.5,10.1,14.1,13.9,21.3
2011,,15.3,191.2,393.1,1510.8,10.1,14.0,13.7,21.1
2010,,15.1,190.9,375.0,1586.0,10.1,13.9,13.6,21.0
2009,,14.9,160.3,355.8,1581.3,9.4,13.7,13.5,21.0
2008,,15.3,164.1,357.7,1434.1,9.4,13.6,13.3,21.4
2007,,15.4,167.9,357.1,1310.0,9.4,13.4,13.1,21.3
2006,,15.0,165.5,365.7,1265.8,9.4,13.2,12.9,21.3
2005,,14.7,159.9,414.2,1311.3,9.4,12.9,12.6,21.1
2004,,14.5,150.5,350.0,1325.4,9.4,12.7,12.5,20.6
2003,,13.7,138.1,461.5,1283.7,7.5,12.6,12.3,20.3
2002,,13.4,131.5,428.6,1207.7,7.5,12.5,12.3,18.9
2001,,13.1,115.6,454.5,1179.5,7.4,12.3,12.2,18.7
2000,,13.0,116.0,500.0,1138.2,7.5,12.3,12.1,18.0
1999,,13.0,104.2,428.6,1198.0,7.5,12.3,12.1,18.1
1998,,13.4,124.3,415.0,1409.2,7.5,12.4,12.3,15.3
1997,,12.5,129.1,358.1,1285.2,7.4,11.0,11.0,11.1
1996,,12.1,121.8,312.8,1434.3,7.4,9.6,9.5,10.7
1995,,12.8,88.3,398.3,1532.2,8.8,9.6,9.5,12.1
